query_id,query_text,global_best_match
0,handmade basket,GLOBAL-9102
1,imigongo art,GLOBAL-1435
2,panier agaseke,GLOBAL-1787
3,chaussures en cuir,GLOBAL-5543
4,handmade basket,GLOBAL-4591
5,local jewelry,GLOBAL-5931
6,boucles d'oreilles,GLOBAL-9343
7,made in rwanda clothes,GLOBAL-3281
8,chaussures en cuir,GLOBAL-6632
9,chaussures en cuir,GLOBAL-7217
10,cadeau en cuir pour femme,GLOBAL-4425
11,chaussures en cuir,GLOBAL-6006
12,boucles d'oreilles,GLOBAL-9412
13,local jewelry,GLOBAL-9862
14,made in rwanda clothes,GLOBAL-2493
15,vêtement rwanda,GLOBAL-5535
16,leather boots,GLOBAL-1973
17,cadeau en cuir pour femme,GLOBAL-1301
18,boucles d'oreilles,GLOBAL-4326
19,leather boots,GLOBAL-6646
20,panier agaseke,GLOBAL-4220
21,imigongo art,GLOBAL-2921
22,leather boots,GLOBAL-7432
23,chaussures en cuir,GLOBAL-9838
24,panier agaseke,GLOBAL-4083
25,boucles d'oreilles,GLOBAL-6222
26,made in rwanda clothes,GLOBAL-1761
27,vêtement rwanda,GLOBAL-4209
28,handmade basket,GLOBAL-4176
29,lether bots,GLOBAL-1479
30,local jewelry,GLOBAL-6042
31,handmade basket,GLOBAL-5296
32,lether bots,GLOBAL-5629
33,vêtement rwanda,GLOBAL-1752
34,chaussures en cuir,GLOBAL-1429
35,made in rwanda clothes,GLOBAL-9050
36,cadeau en cuir pour femme,GLOBAL-6079
37,lether bots,GLOBAL-1964
38,leather boots,GLOBAL-9825
39,boucles d'oreilles,GLOBAL-3344
40,chaussures en cuir,GLOBAL-1167
41,handmade basket,GLOBAL-4912
42,chaussures en cuir,GLOBAL-2863
43,boucles d'oreilles,GLOBAL-6858
44,leather boots,GLOBAL-5673
45,panier agaseke,GLOBAL-9248
46,vêtement rwanda,GLOBAL-8671
47,local jewelry,GLOBAL-1059
48,made in rwanda clothes,GLOBAL-1550
49,lether bots,GLOBAL-2688
50,lether bots,GLOBAL-1787
51,made in rwanda clothes,GLOBAL-4295
52,handmade basket,GLOBAL-7091
53,leather boots,GLOBAL-6938
54,cadeau en cuir pour femme,GLOBAL-2888
55,vêtement rwanda,GLOBAL-4363
56,vêtement rwanda,GLOBAL-4160
57,vêtement rwanda,GLOBAL-1978
58,leather boots,GLOBAL-4317
59,imigongo art,GLOBAL-5548
60,panier agaseke,GLOBAL-7399
61,local jewelry,GLOBAL-6870
62,local jewelry,GLOBAL-4990
63,local jewelry,GLOBAL-4164
64,local jewelry,GLOBAL-3050
65,panier agaseke,GLOBAL-2237
66,vêtement rwanda,GLOBAL-6732
67,local jewelry,GLOBAL-5875
68,cadeau en cuir pour femme,GLOBAL-5930
69,made in rwanda clothes,GLOBAL-7614
70,panier agaseke,GLOBAL-9653
71,leather boots,GLOBAL-7634
72,chaussures en cuir,GLOBAL-7656
73,made in rwanda clothes,GLOBAL-6037
74,lether bots,GLOBAL-9311
75,panier agaseke,GLOBAL-8960
76,made in rwanda clothes,GLOBAL-7180
77,lether bots,GLOBAL-1908
78,boucles d'oreilles,GLOBAL-6767
79,local jewelry,GLOBAL-5352
80,handmade basket,GLOBAL-1404
81,made in rwanda clothes,GLOBAL-2586
82,cadeau en cuir pour femme,GLOBAL-4953
83,imigongo art,GLOBAL-7387
84,leather boots,GLOBAL-3125
85,panier agaseke,GLOBAL-1093
86,leather boots,GLOBAL-8702
87,local jewelry,GLOBAL-2123
88,cadeau en cuir pour femme,GLOBAL-8053
89,made in rwanda clothes,GLOBAL-6788
90,panier agaseke,GLOBAL-7008
91,made in rwanda clothes,GLOBAL-4316
92,handmade basket,GLOBAL-8337
93,boucles d'oreilles,GLOBAL-2412
94,local jewelry,GLOBAL-3644
95,vêtement rwanda,GLOBAL-1665
96,cadeau en cuir pour femme,GLOBAL-7101
97,local jewelry,GLOBAL-7030
98,handmade basket,GLOBAL-5223
99,boucles d'oreilles,GLOBAL-6818
100,leather boots,GLOBAL-7077
101,chaussures en cuir,GLOBAL-2488
102,cadeau en cuir pour femme,GLOBAL-6420
103,leather boots,GLOBAL-9288
104,vêtement rwanda,GLOBAL-5131
105,made in rwanda clothes,GLOBAL-7111
106,chaussures en cuir,GLOBAL-1914
107,imigongo art,GLOBAL-6457
108,imigongo art,GLOBAL-8122
109,cadeau en cuir pour femme,GLOBAL-6295
110,panier agaseke,GLOBAL-1250
111,handmade basket,GLOBAL-3881
112,cadeau en cuir pour femme,GLOBAL-3112
113,vêtement rwanda,GLOBAL-4705
114,handmade basket,GLOBAL-6433
115,panier agaseke,GLOBAL-5613
116,boucles d'oreilles,GLOBAL-1161
117,lether bots,GLOBAL-3593
118,panier agaseke,GLOBAL-9007
119,cadeau en cuir pour femme,GLOBAL-9739
